;bild.txt;faz.txt;sz.txt;taz.txt;welt.txt;zeit.txt
21;['hasan', 9, 0.00505];['bluttat', 6, 0.00356];['worden', 7, 0.00419];['leben', 5, 0.00339];['abgeschoben', 6, 0.00374];['mosig', 6, 0.00372]
22;['verletzte', 8, 0.00449];['evangelische', 6, 0.00356];['tatort', 7, 0.00419];['tobias', 5, 0.00339];['al', 6, 0.00374];['mann', 6, 0.00372]
23;['uhr', 8, 0.00449];['fragen', 6, 0.00356];['schon', 7, 0.00419];['flüchtlingsunterkunft', 5, 0.00339];['müssten', 6, 0.00374];['gerade', 6, 0.00372]
24;['besucher', 8, 0.00449];['deutschen', 6, 0.00356];['reul', 6, 0.00359];['unterkunft', 5, 0.00339];['fälle', 6, 0.00374];['gehen', 6, 0.00372]
25;['tatort', 8, 0.00449];['stellte', 6, 0.00356];['solinger', 6, 0.00359];['kirche', 5, 0.00339];['erfuhr', 5, 0.00312];['fronhof', 6, 0.00372]
26;['nacht', 8, 0.00449];['vergangenen', 6, 0.00356];['offenbar', 6, 0.00359];['attentat', 5, 0.00339];['herbert', 5, 0.00312];['bühne', 6, 0.00372]
27;['sei', 8, 0.00449];['jahr', 6, 0.00356];['meter', 6, 0.00359];['gesellschaft', 5, 0.00339];['cdu', 5, 0.00312];['stehen', 6, 0.00372]
28;['offenbar', 8, 0.00449];['abschiebung', 6, 0.00356];['nacht', 6, 0.00359];['r', 5, 0.00339];['sprecher', 5, 0.00312];['messer', 5, 0.0031]
29;['verletzt', 7, 0.00393];['messer', 6, 0.00356];['ermittler', 6, 0.00359];['müller', 5, 0.00339];['samstag', 5, 0.00312];['seien', 5, 0.0031]
30;['frau', 7, 0.00393];['demnach', 6, 0.00356];['is', 6, 0.00359];['taz', 4, 0.00271];['bislang', 5, 0.00312];['frage', 5, 0.0031]
31;['männer', 7, 0.00393];['tatverdächtigen', 6, 0.00356];['messer', 5, 0.00299];['immer', 4, 0.00271];['müller', 5, 0.00312];['etwa', 5, 0.0031]
32;['deutschland', 7, 0.00393];['müssen', 6, 0.00356];['samstagmorgen', 5, 0.00299];['messer', 4, 0.00271];['issa', 5, 0.00312];['seit', 5, 0.0031]
33;['messerattacke', 7, 0.00393];['syrien', 6, 0.00356];['hätten', 5, 0.00299];['weitere', 4, 0.00271];['jahr', 5, 0.00312];['fest', 5, 0.0031]
34;['terrormiliz', 7, 0.00393];['fassungslosigkeit', 5, 0.00297];['schock', 5, 0.00299];['leute', 4, 0.00271];['behörden', 5, 0.00312];['leben', 5, 0.0031]
35;['stadtfest', 6, 0.00337];['immer', 5, 0.00297];['seien', 5, 0.00299];['staat', 4, 0.00271];['bereits', 5, 0.00312];['viele', 5, 0.0031]
36;['innenstadt', 6, 0.00337];['bekannt', 5, 0.00297];['trauer', 5, 0.00299];['kundgebung', 4, 0.00271];['müsse', 5, 0.00312];['familie', 5, 0.0031]
37;['festival', 6, 0.00337];['wurden', 5, 0.00297];['entfernt', 5, 0.00299];['verletzt', 4, 0.00271];['afghanistan', 5, 0.00312];['efetürk', 5, 0.0031]
38;['vielfalt', 6, 0.00337];['gibt', 5, 0.00297];['flüchtlingsunterkunft', 5, 0.00299];['wurden', 4, 0.00271];['messerattacke', 4, 0.00249];['stadtfest', 4, 0.00248]
39;['zwei', 6, 0.00337];['samstagabend', 5, 0.00297];['tag', 5, 0.00299];['kirchplatz', 4, 0.00271];['gab', 4, 0.00249];['tag', 4, 0.00248]
40;['reul', 6, 0.00337];['wüst', 5, 0.00297];['wenige', 5, 0.00299];['demonstration', 4, 0.00271];['polizeikreisen', 4, 0.00249];['letzten', 4, 0.00248]
41;['worden', 6, 0.00337];['cdu', 5, 0.00297];['polizisten', 5, 0.00299];['rechtsextremen', 4, 0.00271];['angaben', 4, 0.00249];['abend', 4, 0.00248]
42;['attentäter', 6, 0.00337];['angehörigen', 5, 0.00297];['heine', 5, 0.00299];['tagen', 4, 0.00271];['handeln', 4, 0.00249];['erzählt', 4, 0.00248]
43;['gestellt', 6, 0.00337];['schrieb', 5, 0.00297];['nordrhein-westfalen', 4, 0.00239];['zwei', 4, 0.00271];['mann', 4, 0.00249];['platz', 4, 0.00248]
44;['tat', 6, 0.00337];['antworten', 5, 0.00297];['sagte', 4, 0.00239];['anschlags', 4, 0.00271];['später', 4, 0.00249];['jemand', 4, 0.00248]
45;['hosseini', 6, 0.00337];['schwer', 5, 0.00297];['herbert', 4, 0.00239];['attentäter', 4, 0.00271];['ort', 4, 0.00249];['feiern', 4, 0.00248]
46;['solinger', 5, 0.0028];['welt', 5, 0.00297];['männer', 4, 0.00239];['debatte', 4, 0.00271];['zeugen', 4, 0.00249];['bereits', 4, 0.00248]
47;['angreifer', 5, 0.0028];['behörden', 5, 0.00297];['müller', 4, 0.00239];['borlinghaus', 4, 0.00271];['schock', 4, 0.00249];['kurz', 4, 0.00248]
48;['stach', 5, 0.0028];['afghanistan', 5, 0.00297];['islamischen', 4, 0.00239];['tage', 4, 0.00271];['seien', 4, 0.00249];['polizisten', 4, 0.00248]
49;['eingestochen', 5, 0.0028];['nähe', 4, 0.00237];['staats', 4, 0.00239];['schü', 4, 0.00271];['leben', 4, 0.00249];['zuvor', 4, 0.00248]
